tag;nome;referencia;preco;fornecedor;marca;aplicacao
2878;ABRAÇADEIRA 14MM 89-108;89-108;11.00;;;
2841;CONEXÃO ENGATE RAPIDO T LATAL 06MM;6MM;12.00;;;
3067;FORD FAROL DA F4000 L/D;FD25R;250.00;;;FORD F-4000
3049;MANCHAO VD04 A FRIO DIAGONAL;VD04;15.10;;;
2783;TEE SALDAVEL DE 20MM;20MM;8.00;;;
4048;CABO FLEX SOLDA 450/750V 35MM2;;57.00;;;
3108;CAIXA DE VIDEA 16 - 20 X 20 PARA DESBASTE;;290.00;;;
3193;COMPRESSOR DE 3 PISTÃO 40 PÉS 175 PSI 425L 220V;;9788.00;;;
316;CONEXÃO ENGATE RAPIDO PLASTICO 8MM;PU 8MM;2.00;;;
4296;CONEXÃO HIDRAULICA SEDE PLANA 45º 1.1/4;1.11/16X1.1/4;193.00;;;
3111;LIMA ROTATIVA DE 12MM PARA RETIFICA;;100.00;;;
3298;"MB MANGUEIRA 7/8"" R5 [DIREÇÃO HIDRÁULICA]";MANGUERIA R5;161.30;;;MB (modelo a definir)
3303;PARAFUSO 16 X 150MM AÇO 10.9 COM PORCA FLANGEADA;16 X 150MM AÇO 10.9;14.00;;;
4087;RETENTOR RODA TRAS. EXTERNA HL 09/21;90313T0002;88.70;;;
1993;SILICONE ACETICO INCOLOR 50G UNIPEGA ( BISNAGA );;10.00;;;
3113;VIGA PERFIL I 152,4 X 5,89 A36 (111,6KG 6 MTS;150 X 18 KG/M;1467.00;;;
2390;ABRAÇADEIRA 14MM 108-120;108-120;11.50;;;
2391;ABRAÇADEIRA 14MM 127-140;127-140;13.00;;;
2384;ABRAÇADEIRA 14MM 13-19;13-19;6.70;;;
2385;ABRAÇADEIRA 14MM 19-27;19-27;6.50;;;
2386;ABRAÇADEIRA 14MM 25-38;25-38;7.50;;;
2387;ABRAÇADEIRA 14MM 38-51;38-51;7.50;;;
2388;ABRAÇADEIRA 14MM 51-64;51-64;8.50;;;
2389;ABRAÇADEIRA 14MM 70-89;70-89;10.00;;;
2877;ABRAÇADEIRA 14MM 80-100;80-100;12.00;;;
563;ABRAÇADEIRA 32MM 149-161;149-161;45.00;;;
1469;ABRAÇADEIRA AÇO CARBONO;25-38;4.54;;;
4374;ABRAÇADEIRA DE AÇO 64-83;64-83;6.70;;;
4004;ABRAÇADEIRA PLASTICA 200X3,5MM;;1.39;;;
2379;ABRAÇADEIRA PLASTICA 300X4,8MM;300X4,8MM;42.44;;;
344;ABRAÇADEIRA PLASTICA 530X9MM;;132.00;;;
4370;ADAPTADOR MACHO;ORFS X UNF 12-12 1.3/16;60.00;;;
2857;ADAPTADOR MACHO/FEMEA 16MM X 22MM;16MM X 22MM;17.50;;;
2754;ADESIVO ALTA TEMPERATURA 850 ALTA TEMPERATURA;850 ALTA TEMPERATURA ATE 235C;12.46;;;
1992;ADESIVO EPÓXI ARALDITE;TEKBOND;36.00;;;
4174;ADESIVO HIBRIDO PARABRISAS 280ML;;49.90;;;
1226;ADESIVO INSTANTANEO VISC MEDIO 20G;;11.00;;;
488;ADESIVO PARA LONA DE FREIO;3M;9.08;;;
490;ADESIVO PLASTICO PARA PVC 75G;TIGRE;13.13;;;
497;ADESIVO REPARADOR DE PARA-CHOQUES;CHOQUE;127.00;;;
1227;ADESIVO SILICONE 598 BLACK 70G;ADESIVO;87.00;;;
445;ADESIVO TRAVA ROSCA;452426;12.00;;;
790;ADITIVO CAT ELC PREMIX;2154246;55.43;;;
74;ADITIVO PARA RADIADOR CAMINHÃO;ADITIVO1;17.50;;;
222;ADTIVO VOLVO 20L;22567335;74.20;;;
1460;AGULHA PARA APLICAÇÃO DE REPARO;BORRACHARIA;56.11;;;
1107;ALAVANCA PARA CHAVE DE RODA;MÃO DE FORÇA;205.00;;;
1260;ALICATE ANEL EXTERNO BICO RETO;8000J2;47.12;;;
2091;ALICATE ANEL EXTERNO PONTA CURVA;8000A21;47.12;;;
962;"ALICATE DE PRESSÃO 10"" GEDORE";ALICATE DE P;50.55;;;
2374;ALICATE DECAPADOR DE FIO ELETRICO;"8"" 96-230 (STANLEY)";135.00;;;
2233;"ALICATE TRAVA INTERNO 7"" CURVO";J21;47.12;;;
2234;"ALICATE TRAVA INTERNO 7"" RETO";J2;47.12;;;
2106;"ALICATE UNIVERSAL 8"" GEDORE";"8"" GEDORE";39.83;;;
1848;ALMOTOLIA STARFER BICO FLEX;2850;36.00;;;
916;ANEL DE AJUSTE ROLAMENTO ALTERNADO;ETE 75243;10.00;;;
3054;ANEL DE VEDAÇÃO COM GUIA PARA VASO SANITARIO;VASO SANITATIO;15.00;;;
1473;ANEL DE VEDAÇÃO PARA PNEU 20,5 17,5;OR25TU;36.72;;;
4164;ANEL DE VEDAÇÃO PARA PNEUS OR-25-TU;OR25TU;32.87;;;
4165;ANEL DE VEDAÇÃO PARA PNEUS OR325T;OR325T;99.00;;;
3230;ANEL SINCRONIZADO 1º, 2º, 3º E 4º 2324K;14330271;704.72;;;
786;ANTENA DIGITAL COM RECEPTOR;ANTENA;620.00;;;
3357;ANTI-RESPINGO DE SOLDA SPRAY PARA MIG;7895678098403;39.00;;;
1690;APLICADOR DE SILICONE;1789;21.50;;;
1509;AR CONDICIONADO ELETRICO AUTOMOTIVO;DS600033;4800.00;;;
954;ARAME MIG AC 1.0 ROLO 15KG;1.0;430.00;;;
4026;ARRUELA DE VEDAÇÃO DE ALUMINIO 10X14X1;;30.00;;;
4030;ARRUELA DE VEDAÇÃO DE ALUMINIO 12X16X1 5MM;;47.00;;;
4028;ARRUELA DE VEDAÇÃO DE ALUMINIO 14 3X20X1 5;;65.00;;;
4027;ARRUELA DE VEDAÇÃO DE ALUMINIO 16X22X1 5MM;;72.00;;;
4029;ARRUELA DE VEDAÇÃO DE ALUMINIO 8X12X1 5MM;;28.00;;;
1111;ASSENTO SANIT.IDEALE BRANCO HERC;VASO;45.00;;;
3341;AUTOMÁTICO AUXILIAR DE PARTIDA 12V;ZM 3-407;155.00;;;
1850;BARRA FERRO REDONDA 1/2X3MT;1530;56.84;;;
3089;BARRA ROSCADA ZINCADA 1/2;;16.65;;;
1837;BATEIRA PARA MASCARA DE SOLDA 3V C;DSM71193;14.70;;;
812;BATERIA 100AMP;BATERIA100;824.20;;;
810;BATERIA 150AMP;BATERIA150;1090.70;;;
1765;BATERIA 65AMP;65AMP;521.00;;;
1151;BATERIA ACDELCO 75AMP;75AMP;635.00;;;
1846;"BEDAME 3/4"" 50%";3/4 X 1/8 X;100.00;;;
1851;BICO DE CORTE OXI/GLP Nº4;2731;60.00;;;
1852;BICO DE CORTE OXI/GLP Nº6;2732;60.00;;;
1853;BICO DE CORTE OXI/GLP Nº8;2587;60.00;;;
847;BICO DE ENGRAXADEIRA PNEUMATICA NOVE54;15151;17.00;;;
4271;BICO DUPLO ANGULAR DE PNEU;SCH 0712;41.00;;;
2383;BICO PARA ENCHER PNEU RETO;1295SER;40.79;;;
2693;BICO PARA PNEU SEM CAMARA CARREGADEIRA;TR-618A RETA;58.00;;;
842;BICO PARA PNEU SEM CAMARA R34561-313;R34561-313;17.50;;;
1774;BICO PULVERIZADOR BOTAO ALUM. LUBE;5994;38.00;;;
3057;BICO VALVULA JUMBO PARA PNEU SEM CAMARA;TRJ651;53.08;;;
1842;"BITS 50% COBALTO C 3/8X4"" HARDSTEE";HS-419;105.00;;;
2052;BLOCO COLORIDO ADESIVO;2052;22.50;;;
1694;"BLOCO VOLUMETRICO 1"" X 1"" 12A TRANSFERENCIA DE COMBUSTUVEL";1123;3770.00;;;
2307;BOCAL PARA LAMPADA (SOQUETE) E-27;(SOQUETE) E-27;3.61;;;
2098;BOIA CAIXA D'AGUA SENSOR DE NIVEL;2022184;48.50;;;
1589;"BOMBA DE ENGRENAGEM 11/2""";;4200.00;;;
1956;BOMBA DE GRAXA MANUAL 8KG;8KG;599.00;;;
4119;BOMBA DE ÓLEO DO MOTOR L200 91/11 L300 95/11 PAJERO 90/93;L2511900B / 54864268;1237.00;;;MITSUBISHI L200
1525;BOMBA PNEUMATICA DE GRAXA 200KG CO;B280.0001;2991.00;;;
1201;BOMBA SUBMERSA 1,5CV 220V;87600794-00;1529.91;;;
589;BONECA ENGATE BOCA DE LOBO COM PORCA;33266;725.00;;;
1248;BORRACHA P/ LAPIS PONTEIRA BRANCA;ESCRITORIO;3.50;;;
2054;BOTÃO DA BUZINA UNIVERSAL;IM-11.039/S;9.07;;;
4281;BOTÃO PULSADOR VERMELHO SEM TRAVA;R13-507;10.00;;;
2111;BROCA DE AÇO RAPIDO 6MM;RAPIDO 6MM;6.65;;;
2110;BROCA DE AÇO RAPIDO 8MM;RAPIDO 8MM;17.00;;;
365;BUCHA BIPARTIDA COM TUBO DO OLHAL;R-619;12.00;;;
1317;BUCHA COM TUBO DO OLHAL AMORTECEDO;R-750;41.06;;;
57;BUZINA A AR 2 CORNETAS 24V VT044;VT044;110.00;;;
72;BUZINA VETOR UNIVERSAL 24V VT113;VT113;42.38;;;
3367;CABECOTE FILTRO RACOR 4 FUROS 14MM;032412401;132.22;;;
3218;CABO 50MM 750V AZUL (SIL);50MM 750V;58.50;;;
1453;CABO ACIONA/FECH PORTA DIANTEIRA E;50133;9.54;;;
2457;"CABO DE AÇO 1"" POLEGADA";"25.40MM AFP 6X25 1""";110.00;;;
1840;CABO PARA BATERIA 16MM;215855;15.56;;;
2058;CABO PP 2X1MM;2X1MM;4.13;;;
3101;CABO PP 4X1MM;4X1MM;7.00;;;
2059;CABO PP 7X1MM;7X1MM;3.55;;;
825;CADASTRAR;61064;716.50;;;
2371;CADEADO Nº40;N40;35.55;;;
1383;CADEADO PADO Nº30MM;N°30MM;20.00;;;
393;CADEADO PADO Nº50MM;25DC;42.54;;;
1112;CAIXA DE DESCARGA;C17/S*BR1;46.00;;;
1494;CAIXA DE FERRAMENTAS 7 GAVETAS 50C;CAIXA FER;220.00;;;
2672;CAIXA DESC.C17/S BR1 S/ENGATE ASTRA;;46.00;;;
599;CALIBRADOR DE PNEUS RETO ANGULAR15;R7188CI;79.00;;;
822;CAMARA 1000X20 TC-131 TORTUGA;1000X20;163.37;;;
2198;CAMARA 20.5-25 TRJ1175C CARREGADEIRA;TRJ1175C;451.83;;;
1461;CAMARA 295/80R22 TR - 462 PEGASUS;;137.00;;;
1610;CAMARA 3,25X8 CARRINHO DE MÃO;3561;20.00;;;
1337;CAMARA 7.50 R16/7.00 R16 SC95;7.50X16;68.01;;;
450;CAMARA DE AR 1100X22 TC131;1100X22;163.37;;;
4272;CÂMARA DE AR CARRINHO DE MÃO TR-13;3.00/3,25-8. TR-13;17.00;;;
3047;CAMARA DE AR CL1416 VALVULA TR460;L1416 VALVULA TR460;40.00;;;
1499;CAMARA DE AR PGS LT 1616 TR 13 - H;PGSLT1616TR1;189.00;;;
1616;CAMARA DE AR SKIDDER 30.5X32;TR218A;569.00;;;
3216;CANETA MAÇARICO DE CORTE 3 CANOS;15280601;547.00;;;
2053;CANETA AZUL;CANETA;1.20;;;
1177;CANETA ESFEROGRAFICA;;1.60;;;
1312;CAP 3/4;03310-12;30.00;;;
1311;CAPA 1 1/4;03310-20;50.00;;;
2824;CAPACITOR 30UF 250V;30UF 250V;30.00;;;
2823;CAPACITOR 5UF 250V;5UF 250V;15.00;;;
2036;CARBIDE 010 G-16 (D 100X38) FURO 14MM;100X38;139.37;;;
3090;CARCAÇA FILTRO LUBRIFICANTE MOTOR ATEGO 1726;A9061801710;1778.00;;;MB ATEGO 1726
121;CAROTE 5L;;5.00;;;
2612;CARREGADOR DE BATERIA 150A;CK24A100;2437.00;;;
1452;CASTANHA RODA CARRETA;K700;18.92;;;
3129;CAT BOLSA DE AR DO BANCO WEILER S250 545C;192-7810 / S9383;1229.00;;;CAT 545C
50;CAT FILTRO DE AR SECUNDARIO AF100;AF1009;132.00;;;CAT (modelo a definir)
7;CAT FILTRO DO SEPARADOR DE ÁGUA 140GC - D5 - WEILER;439-5037;197.00;;;CAT D5
2317;CAT MOTOR SPEED SENSOR - D5;515-5462;4189.10;;;CAT D5
3312;CAT PARAFUSO M20 X 2.5 X 80;213-5007;61.00;;;CAT (modelo a definir)
4009;CAT VLVULA SELENOID D5;437-2846;3.97;;;CAT D5
2676;CAT ABRAÇADEIRA DA TURBINA - D6N;216-4983;64.00;;;CAT D6N
2675;CAT ABRAÇADEIRA DO MANGOTE DA TURBINA - D6N;215-4012;64.00;;;CAT D6N
4333;CAT ADAPTADOR EM TÊ LATERAL DE 11/16 POL X 7/16 POL;377-9554;1700.00;;;CAT (modelo a definir)
1659;CAT ADAPTADOR T 1 3/16 POL - 938K;6V-9160;1600.00;;;CAT 938K
1085;CAT ADITIVO \PC-938K;U-9891;366.25;;;CAT 938K
215;CAT ADITIVO HIDRAULICO;624-3379;285.44;;;CAT (modelo a definir)
2750;CAT ADITIVO HIDRAULICO;622-3149;805.00;;;CAT (modelo a definir)
824;CAT ADITIVO PARA RADIADOR;215-4246;72.95;;;CAT (modelo a definir)
2478;CAT ALOJAMENTO DO FILTRO HIDRAULICO - 938K;421-5482;2779.00;;;CAT 938K
3398;CAT ALTERNADOR 545C D6N;177-9953;2800.00;;;CAT D6N
4301;CAT ALTERNADOR 938K;385-1812;1642.00;;;CAT 938K
3381;CAT AMORTECEDOR DO ASSENTO DO BANCO 120H;8Y-5965;1477.00;;;CAT 120H
3317;CAT AMORTECEDOR DO BANCO;567-4030;928.00;;;CAT (modelo a definir)
1530;CAT ANEL - TE D6N;2K2961;6.00;;;CAT D6N
1539;CAT ANEL - TE D6N;1K7095;3.00;;;CAT D6N
2354;CAT ANEL 140GC;596-8020;29.08;;;CAT 140GC
4339;CAT ANEL 140GC;545-8102;85.73;;;CAT 140GC
4337;CAT ANEL 140GC;545-8101;42.86;;;CAT 140GC
2323;CAT ANEL 938K;367-0568;235.53;;;CAT 938K
2324;CAT ANEL 938K;365-1293;440.39;;;CAT 938K
2325;CAT ANEL 938K;365-1292;409.22;;;CAT 938K
2334;CAT ANEL 938K;367-0574;825.74;;;CAT 938K
2319;CAT ANEL 938K;135-7935;128.20;;;CAT 938K
2992;CAT ANEL 938K D6N;7J-9108;17.00;;;CAT D6N
2738;CAT ANEL D5 - COMANDO FINAL;421-4024;258.45;;;CAT D5
2730;CAT ANEL D5 - COMANDO FINAL;6F-6673;21.40;;;CAT D5
2734;CAT ANEL D5 - COMANDO FINAL;8T-4958;99.68;;;CAT D5
2733;CAT ANEL D5 - COMANDO FINAL;4J-3745;267.51;;;CAT D5
2736;CAT ANEL D5 - COMANDO FINAL;175-7902;56.04;;;CAT D5
2726;CAT ANEL D5 - COMANDO FINAL;2S-4078;22.50;;;CAT D5
2732;CAT ANEL D5 - COMANDO FINAL;1K-7095;5398.00;;;CAT D5
2728;CAT ANEL D5 - COMANDO FINAL;3K-0360;12.98;;;CAT D5
2731;CAT ANEL D5 - COMANDO FINAL;2R-0098;140.11;;;CAT D5
2751;CAT ANEL D5 D6N;109-0959;99.00;;;CAT D6N
2975;CAT ANEL DA BOMBA D'AGUA 140GC D6N;225-7738;78.00;;;CAT D6N
2998;CAT ANEL DE DESGASTE 938K;343-8050;120.00;;;CAT 938K
3320;CAT ANEL DE DESGASTE D6N;343-8053;0.00;;;CAT D6N
3002;CAT ANEL DE ENCOSTO 545C;4J-9224;50.00;;;CAT 545C
2990;CAT ANEL DE ENCOSTO D6N;1S-0669;88.00;;;CAT D6N
1603;CAT ANEL DE ENCOSTO DE BORRACHA D5 D6N;2K-6830;80.00;;;CAT D6N
1430;CAT ANEL DE RETENÇÃO;5P-9928;2077.59;;;CAT (modelo a definir)
3011;CAT ANEL DE RETENÇÃO;5L-4751;100.00;;;CAT (modelo a definir)
3001;CAT ANEL DE RETENÇÃO;8T-9599;78.00;;;CAT (modelo a definir)
1429;CAT ANEL DE RETENÇÃO BALANÇA PARALELA 938K;355-9797;185.00;;;CAT 938K
2352;CAT ANEL DE VEDAÇÃO 140GC;596-8010;32.57;;;CAT 140GC
2351;CAT ANEL DE VEDAÇÃO 140GC;596-9630;9.85;;;CAT 140GC
2349;CAT ANEL DE VEDAÇÃO 140GC;596-8013;18.02;;;CAT 140GC
4359;CAT ANEL DE VEDAÇÃO AJUSTADOR D6N;2S-4078;15.80;;;CAT D6N
2720;CAT ANEL DE VEDAÇÃO D5 - COMANDO FINAL;460-4832;514.23;;;CAT D5
2737;CAT ANEL DE VEDAÇÃO D5 - COMANDO FINAL;231-3538;288.91;;;CAT D5
2739;CAT ANEL DE VEDAÇÃO D5 - COMANDO FINAL;495-8197;367.16;;;CAT D5
4348;CAT ANEL DE VEDAÇÃO O-RING ESTEIRA D6N;2J-6274;8.41;;;CAT D6N
677;CAT ANEL DE VEDAÇÃO PARA PNEU 25TU CARREGADEIRA;OR25TU / OR88T;36.90;;;CAT (modelo a definir)
1431;CAT ANEL DO RETENTOR BALANÇA 938K;4F-9652;8.00;;;CAT 938K
2744;CAT ANEL MANGUEIRA CELTRA 938K;1P-3703;22.91;;;CAT 938K
2745;CAT ANEL MANGUEIRA CENTRAL 938K;1P-3704;26.71;;;CAT 938K
4324;CAT ANEL O-RING GARRAFA DE INCLINAÇÃO 938K PU DE 80 A DE 5 X 120 MM;340-9323;67.64;;;CAT 938K
3266;CAT ANEL ORING 140GC;9M-2092;2.30;;;CAT 140GC
3007;CAT ANEL ORING D5 545C;2K-4096;80.00;;;CAT D5
2500;CAT ANEL ORING VEDAÇÃO 545C;8T-2361;13.00;;;CAT 545C
2503;CAT ANEL ORING VEDAÇÃO 545C;7J-0204;9.80;;;CAT 545C
2506;CAT ANEL ORING VEDAÇÃO 545C;4K-1388;20.00;;;CAT 545C
2508;CAT ANEL ORING VEDAÇÃO 545C;3J-7354;13.00;;;CAT 545C
2499;CAT ANEL ORING VEDAÇÃO 545C;5K-9090;15.00;;;CAT 545C
2498;CAT ANEL ORING VEDAÇÃO 545C;8T-2360;13.00;;;CAT 545C
2504;CAT ANEL ORING VEDAÇÃO 545C;6V-5722;8.50;;;CAT 545C
2505;CAT ANEL ORING VEDAÇÃO 545C;126-5985;45.00;;;CAT 545C
2497;CAT ANEL ORING VEDAÇÃO 545C;6E-0358;20.00;;;CAT 545C
2494;CAT ANEL ORING VEDAÇÃO 545C;4J-5140;16.00;;;CAT 545C
2495;CAT ANEL ORING VEDAÇÃO 545C;3H-0442;8.00;;;CAT 545C
2496;CAT ANEL ORING VEDAÇÃO 545C;4J-5267;19.00;;;CAT 545C
2501;CAT ANEL ORING VEDAÇÃO 545C;1P-7363;13.00;;;CAT 545C
2507;CAT ANEL ORING VEDAÇÃO 545C;126-5984;44.00;;;CAT 545C
2502;CAT ANEL ORING VEDAÇÃO 545C;4T-7807;12.00;;;CAT 545C
2493;CAT ANEL ORING VEDAÇÃO 545C;4D-9986;16.00;;;CAT 545C
2475;CAT ANEL REDENTOR EM O - D6N;326-7289;103.00;;;CAT D6N
2479;CAT ANEL REDENTOR EM O - D6N;277-5064;72.00;;;CAT D6N
1516;CAT ANEL RETENTOR - PC 938K;367-0579;41.23;;;CAT 938K
3030;CAT ANEL RETENTOR 140GC;4D-6695;10.00;;;CAT 140GC
3000;CAT ANEL RETENTOR 938K;340-9312;56.00;;;CAT 938K
2410;CAT ANEL RETENTOR 938K;4F-8824;55.00;;;CAT 938K
2409;CAT ANEL RETENTOR 938K;3D-2824;24.00;;;CAT 938K
2408;CAT ANEL RETENTOR D6N - 938K;6V-9746;22.00;;;CAT D6N
3268;CAT ANEL RETENTOR DE METAL 140GC;2G-8741;30.00;;;CAT 140GC
3257;CAT ANEL RETENTOR DO CONVERSOR DE TORQUE D6N;5P-9806;13.00;;;CAT D6N
4335;CAT ANEL RETENTOR EM O 140GC;544-3698;36.62;;;CAT 140GC
4336;CAT ANEL RETENTOR EM O MAIOR 140GC;544-3697;29.21;;;CAT 140GC
2717;CAT ANEL ROTULA DA PONTA DA BALANÇA D6N D5;1J-6472;6.00;;;CAT D6N
3270;CAT ANEL TEFFLON 140GC;2G-8777;107.20;;;CAT 140GC
2627;CAT ANEL TRAVA - D6N;8T-7567;8.00;;;CAT D6N
3265;CAT ANEL TRAVA 140GC;2R-1230;0.90;;;CAT 140GC
2628;CAT ANEL TRAVA D6N;153-311;6.00;;;CAT D6N
3309;CAT ARMAÇÃO DO RETROVISOR LD 938K;649-5220;1031.00;;;CAT 938K
3308;CAT ARMAÇÃO DO RETROVISOR LE 938K;649-5219;1031.00;;;CAT 938K
3314;CAT ARRUELA;8T-4121;25.00;;;CAT (modelo a definir)
2974;CAT ARRUELA D6N 140GC;6V-8237;20.00;;;CAT D6N
2359;CAT ARRUELA 140GC;518-4409;0.61;;;CAT 140GC
2989;CAT ARRUELA 140GC;6G-3206;189.00;;;CAT 140GC
4342;CAT ARRUELA 140GC;545-8094;5.70;;;CAT 140GC
2342;CAT ARRUELA 938K;365-1287;128.58;;;CAT 938K
2346;CAT ARRUELA 938K;367-0578;372.39;;;CAT 938K
2714;CAT ARRUELA D5 - COMANDO FINAL;7X-0587;29.68;;;CAT D5
3271;CAT ARRUELA DE ENCOSTO 140GC;2G-8615;18.00;;;CAT 140GC
3272;CAT ARRUELA DE ENCOSTO 140GC;2G-8615;19.50;;;CAT 140GC
1972;CAT ARRUELA DE ENCOSTO DA BALANÇA 938K;507-6751;80.00;;;CAT 938K
2406;CAT ARRUELA DE ENCOSTO EIXO COMANDO D5;232-3666;412.45;;;CAT D5
4247;CAT ARRUELA DE ENCOSTO EIXO DIANTEIRO;2G-8626;22.47;;;CAT (modelo a definir)
2973;CAT ARRUELA DE VEDAÇÃO 140GC / D6N;232-3149;40.00;;;CAT D6N
3018;CAT ARRUELA DE VEDAÇÃO 938K;247-4928;80.00;;;CAT 938K
3326;CAT ARRUELA DE VEDAÇÃO DO INJETOR D6;287-7637;34.51;;;CAT D6
1432;CAT ARRUELA DO ENCOSTO BALANÇA 938K;467-0998;40.00;;;CAT 938K
3333;CAT ARRUELA DURA 938K;430-2987;0.00;;;CAT 938K
4130;CAT AUTOMATICO DE PARTIDA 24V 37MT 545C;ZM-360;615.00;;;CAT 545C
1397;CAT BASE TAMPA CABEÇOTE D6N;317-2717;8313.00;;;CAT D6N
3174;CAT BLADE A (PALHETA DO LIMPADOR) – D5;6V-5851;22.00;;;CAT D5
3318;CAT BOLSA DE AR DO BANCO 938K;424-5304;3100.00;;;CAT 938K
1574;CAT BOMBA D'ÁGUA - D6N - D5 - WEILER S250;485-4895;4897.00;;;CAT D6N
4310;CAT BOMBA D'ÁGUA 545C;3522109;1650.00;;;CAT 545C
4107;CAT BOMBA D'AGUA 930T MOTOR 3304;1727767 / 876268;1506.74;;;CAT 930T
3340;CAT BOMBA D6N;368-9171;0.00;;;CAT D6N
2455;CAT BOMBA DE ALTA D6N;317-8021;0.00;;;CAT D6N
1388;CAT BOMBA DE TRANSFERENCIA D6N;426 4806;2266.00;;;CAT D6N
1268;CAT BOMBA DO LIMPADOR DE PARABRISA;583-6255;58.76;;;CAT (modelo a definir)
2014;CAT BOMBA ESGUICHO PARABRISA 938K;WPH02;60.00;;;CAT 938K
2452;CAT BOMBA GP - 545C;20R-1649;6839.00;;;CAT 545C
2312;CAT BOMBA GP-GR A - D5;643-1531;10635.62;;;CAT D5
687;CAT BORDA CORTANTE 3/4 15 FUROS MOTONIVELADORA 140GC;7D-1577;830.00;;;CAT 140GC
4234;CAT BORDA CORTANTE D6G;4T-3013;0.00;;;CAT D6G
2197;CAT BORDA CORTANTE D6N;3G-4282;600.00;;;CAT D6N
3388;CAT BORDA CORTANTE MOTONIVELADORA 120H;5D-9553 / 5D-9558;750.00;;;CAT 120H
3297;CAT BORRACHA DO MODULO;155-0576;12.00;;;CAT (modelo a definir)
3016;CAT BOTÃO 545;289-8627;210.00;;;CAT (modelo a definir)
2988;CAT BUCHA 140GC;218-4406;220.00;;;CAT 140GC
3387;CAT BUCHA 140GC;597-4239;1919.00;;;CAT 140GC
1428;CAT BUCHA BALANÇA 938K;355-9714;155.00;;;CAT 938K
3168;CAT BUCHA BARRA EQUALIZADORA D5 D6N;7P-6596;108.00;;;CAT D6N
2949;CAT BUCHA CENTRO DA BALANÇA 545C;328-6271;3500.00;;;CAT 545C
3014;CAT BUCHA D6N;233-6825;320.00;;;CAT D6N
1433;CAT BUCHA DA BALANÇA 938K;320-5177;105.00;;;CAT 938K
1991;CAT BUCHA DA LAMINA - MN 140GC;535-8193;204.00;;;CAT 140GC
3122;CAT BUCHA DA PONTA DO H 938K;347-8175;265.00;;;CAT 938K
4169;CAT BUCHA DO ROLAMENTO TIPO LUVA;5M3320;30.00;;;CAT (modelo a definir)
3170;CAT BUCHA DO TRUCK – D6N;221-3202;99.00;;;CAT D6N
3171;CAT BUCHA DO TRUCK (MAIOR) D6N;221-3197;306.50;;;CAT D6N
3263;CAT BUCHA GRUPO TREM DE FORÇA 140GC;146-1842;110.00;;;CAT 140GC
2727;CAT BUJÃO D5 - COMANDO FINAL;6V-0439;371.03;;;CAT D5
3096;CAT CABEÇOTE DO FILTRO DE COMBUSTIVEL D6N;217-8339;1790.00;;;CAT D6N
3006;CAT CALÇO;76086820 / 76086821;15.00;;;CAT (modelo a definir)
2348;CAT CALÇO 140GC;596-8024;33.59;;;CAT 140GC
3249;CAT CALÇO 140GC;545-8087;77.80;;;CAT 140GC
3248;CAT CALÇO 140GC;545-8086;66.63;;;CAT 140GC
3247;CAT CALÇO 140GC;545-8085;83.90;;;CAT 140GC
3393;CAT CALÇO 140GC;534-6354;64.00;;;CAT 140GC
3390;CAT CALÇO 140GC;431-4596;18.75;;;CAT 140GC
4326;CAT CALÇO 140GC;596-8008;19.03;;;CAT 140GC
752;CAT CALÇO CIRCULAR DA BARRA DE TRAÇÃO 140GC;535-8194;14.00;;;CAT 140GC
4341;CAT CALÇO DO BRAÇO DE LEVANTAMENTO DA LÂMINA COM 2 MM 140GC;545-8090;51.21;;;CAT 140GC
4340;CAT CALÇO DO GARFO DA ARMAÇÃO FRONTAL COM 2 MM 140GC;545-8088;67.04;;;CAT 140GC
462;CAT CALÇO RODA GUIA FRONTAL D6N;7M-1848;15.00;;;CAT D6N
1386;CAT CALÇO TIRA DE DESGASTE BRONZE/TECNIL 140GC;128-9654;9.60;;;CAT 140GC
458;CAT CALÇO TIRA DE NYLON;1289654/C;36.90;;;CAT (modelo a definir)
1526;CAT CALÇO TIRA MEIA LUA DE BRONZE;6G4525 / 128-9656;172.27;;;CAT (modelo a definir)
1298;CAT CANTO LAMINA TRATOR ESTEIRA LD D6N;8E-9379;330.00;;;CAT D6N
1267;CAT CANTO LAMINA TRATOR ESTEIRA LE D6N;8E-9378;330.00;;;CAT D6N
2065;CAT CAPA DO ROLAMENTO COMANDO TAMPA PLANETARIA - D6N D5;1B-3978;644.98;;;CAT D6N
2983;CAT CAPA ROL DA POLIA 545C;4W-1203;38.00;;;CAT 545C
2067;CAT CAPA ROLAMENTO ARTICULAÇÃO CENTRAL 938K;7H-4566;388.00;;;CAT 938K
2712;CAT CAPA ROLAMENTO D5 - COMANDO FINAL;6V-0327;1048.42;;;CAT D5
2723;CAT CAPA ROLAMENTO D5 - COMANDO FINAL;6V-0330;632.01;;;CAT D5
2490;CAT CARDANZINHO - 545C;294-8634;4900.00;;;CAT 545C
2610;CAT CHAVE DE PARTIDA - D6N 545C;467-8535;296.00;;;CAT D6N
3370;CAT CHAVE GERAL 545C, 938K, 140GC, 250S;7N-0718;164.84;;;CAT 938K
3173;CAT COMPRESSOR (COMPRESSOR DO AR-CONDICIONADO) - D6N / D5;501-1179;1644.25;;;CAT D6N
2224;CAT COMPRESSOR AR CONDICIONADO WEILER 250;DI104127;2099.00;;;CAT (modelo a definir)
